word,pronunciation,sense
窑子,yáo•zi〈方〉,妓院。
舀子,yǎo•zi,舀水、油等液体用的器具，底平，口圆，有柄，多用铝或铁皮制成。也叫舀儿。
疟子,yào•zi〈口〉,疟疾：发～。
药罐子,yàoɡuàn•zi,①熬中药用的罐子。②比喻经常生病吃药的人（含戏谑意）。
药引子,yàoyǐn•zi,中药药剂中另加的一些药物，能加强药剂的效力。
要子,yào•zi,①用麦秆、稻草等临时拧成的绳状物，用来捆麦子、稻子等。②捆货物用的或打包用的条状物：铁～。
鹞子,yào•zi,①雀鹰的通称。②〈方〉纸鹞；风筝。
椰子,yē•zi,①常绿乔木，树干直立，不分枝。叶子丛生在顶部，羽状复叶，小叶细长，肉穗花序，花单性，雌雄同株。核果圆球形，外果皮黄褐色，果肉白色多汁，含脂肪。果肉可以吃，也可榨油，果肉内的汁可做饮料。②这种植物的果实。
叶子,yè•zi,①植物的叶的通称。②〈方〉纸牌。③〈方〉指茶叶。
夜猫子,yèmāo•zi〈口〉,①猫头鹰。②比喻喜欢晚睡的人（含戏谑意）。
一辈子,yībèi•zi〈口〉,一生。
胰子,yí•zi〈口〉,①猪羊等的胰。②肥皂：香～｜药～。
椅子,yǐ•zi,有靠背的坐具，主要用木头、竹子、藤子等制成。
银子,yín•zi,银的通称。
引子,yǐn•zi,①南曲、北曲的套曲中的第一支曲子。②戏曲角色初上场时所念的一段词句，有时唱和念相间。③某些乐曲的开始部分，有酝酿情绪、提示内容等作用。④比喻引起正文的话或启发别人发言的话：这一段话是下文的～｜我简单说几句做个～，希望大家多发表意见。⑤指药引子。
饮子,yǐn•zi,宜于冷着喝的汤药。
印把子,yìnbà•zi,指行政机关的印信的把儿，比喻政权：～掌握在人民手里。
印子,yìn•zi,①痕迹：车轮～｜地板上踩了好多脚～。②印子钱的简称：放～｜打～（借印子钱）。
缨子,yīnɡ•zi,①系在服装或器物上的穗状饰物：帽～。②像缨子的东西：萝卜～。
蝇子,yínɡ•zi〈口〉,苍蝇。
影子,yǐnɡ•zi,①物体挡住光线后，映在地面或其他物体上的形象：树～。②镜中、水面等反映出来的物体的形象。③模糊的形象：那件事我连点儿～也记不得了。
油底子,yóudǐ•zi,指盛油容器底部剩下的较黏稠的油。有的地区叫油脚。
油子,yóu•zi,①某些稠而黏的东西，多为黑色：膏药～｜烟袋～。②指阅历多、熟悉情况而油滑的人：老～。
柚子,yòu•zi,柚的通称。
釉子,yòu•zi,以石英、长石、硼砂、黏土等为原料，磨成粉末，加水调制而成的物质，用来涂在陶瓷半成品的表面，烧制后发出玻璃光泽，并能增加陶瓷的机械强度和绝缘性能。
鱼秧子,yúyānɡ•zi,比鱼苗稍大的小鱼。
园子,yuán•zi,①园：菜～。②指戏园子。
圆子,yuán•zi,①用糯米粉等做成的一种食品，大多有馅儿。②〈方〉丸子。
辕子,yuán•zi〈口〉,辕：车～。
院子,yuàn•zi,房屋前后用墙或栅栏围起来的空地。
垸子,yuàn•zi,长江中游地区，在沿江、湖地带围绕房屋、田地等修建的像堤坝的防水构筑物。
月子,yuè•zi,①妇女生育后的第一个月：坐～｜她还没出～。②分娩的时期：她的～是二月初。
砸牌子,zápái•zi指产品（多指,牌产品）由于质量下降等原因而使品牌信誉受损。
栽子,zāi•zi,供移植的植物幼苗：树～。
崽子,zǎi•zi,崽（多用作骂人的话）。
簪子,zān•zi,别住发髻的条状物，用金属、骨头、玉石等制成。
拶子,zǎn•zi,旧时夹手指的刑具。
錾子,zàn•zi,凿石头或金属的小凿子：石～｜油槽～。
凿子,záo•zi,手工工具，长条形，前端有刃，使用时用重物砸后端。用来挖槽、打孔或加工石料。
枣子,zǎo•zi〈方〉,枣。
甑子,zènɡ•zi,蒸米饭等的用具，略像木桶，有屉子而无底。
渣子,zhā•zi〈口〉,渣滓；碎屑：甘蔗～｜点心～。
劄子,zhá•zi,古代一种公文，多用于上奏。后来也用于下行。
砟子,zhǎ•zi,小的石块、煤块等。
栅子,zhà•zi〈方〉,用竹子、芦苇等围成的栅栏，有的带顶，多用来圈住家禽。
宅子,zhái•zi〈口〉,住宅：一所～。
寨子,zhài•zi,①四周的栅栏或围墙。②四周有栅栏或围墙的村子。
毡子,zhān•zi,用羊毛等轧成的像厚呢子或粗毯子似的东西。
章子,zhānɡ•zi〈方〉,图章：刻～｜盖～。
獐子,zhānɡ•zi,哺乳动物，形状像鹿而较小，毛较粗，黄褐色，腹部白色，没有角。雄的上犬齿发达，外露。也叫牙獐、河麂。
掌子,zhǎnɡ•zi,采矿或隧道工程中掘进的工作面。也作礃子。
帐子,zhànɡ•zi,用布、纱或绸子等做成的张在床上或屋子里的东西。
障子,zhànɡ•zi,用芦苇、秫秸等编成的或利用成行的树木做成的屏障：树～｜篱笆～。
幛子,zhànɡ•zi,题上词句的整幅绸布，用作祝贺或吊唁的礼物。
招子,2zhāo•zi,着儿；办法、计策或手段。
罩子,zhào•zi,遮盖在物体外面的东西。
折子,zhé•zi,用纸折叠而成的册子，多用来记账。
褶子,zhě•zi,①（衣服上）经折叠而缝成的纹：裙子上的～。②（衣服、布匹、纸张上）经折叠而留下的痕迹：用熨斗把～烙平。③皮肤上的皱纹。
砧子,zhēn•zi〈口〉,砧。
榛子,zhēn•zi,榛的通称。
疹子,zhěn•zi〈口〉,麻疹。
镇子,zhèn•zi,集镇。
支子,zhī•zi,①支撑物体的东西：车～。②一种铁制的架在火上烤肉的用具，像箅子而带腿儿。
枝子,zhī•zi,由植物的主干上分出来的较细的茎。
直肠子,zhíchánɡ•zi〈口〉,比喻直性子或性情爽直的人。
直筒子,zhítǒnɡ•zi,比喻直性子或思想单纯的人：他是个～，说话做事从来不会拐弯抹角。
直性子,zhíxìnɡ•zi①形直性。②,直性的人。
侄子,zhí•zi,弟兄或其他同辈男性亲属的儿子。也称朋友的儿子。
志子,zhì•zi〈方〉,称轻重或量长短、多少的简单器具。
种子,zhǒnɡ•zi,①显花植物所特有的器官，是由完成了受精过程的胚珠发育而成的，通常包括种皮、胚和胚乳三部分。种子在一定条件下能萌发成新的植物体◇革命的～。②比赛中，进行分组淘汰赛时，被安排在各组里的实力较强的运动员叫做种子。同样，以队为单位参加比赛时，被安排在各组的实力较强的队，叫做种子队。
重身子,zhònɡshēn•zi①动指怀孕。②,指怀孕的妇女。
轴子,zhóu•zi,①安在字画的下端便于悬挂或卷起的圆杆儿。②弦乐器上系弦的小圆杆儿，用来调节音的高低。
肘子,zhǒu•zi,①作为食物的猪腿的最上部。②肘：胳膊～。
珠子,zhū•zi,①珍珠。②像珍珠般的颗粒：汗～。
竹子,zhú•zi,常绿植物，茎圆柱形，中空，有节，叶子有平行脉，嫩芽叫笋。种类很多，如毛竹、箭竹、湘妃竹。茎可供建筑和制器具用，笋可以吃。
主子,zhǔ•zi,旧时奴仆称主人为主子，现多比喻操纵、主使的人。
柱子,zhù•zi,建筑物中直立的起支撑作用的构件，用木、石、型钢、钢筋混凝土等制成。（图见387页“房子”）
爪子,zhuǎ•zi〈口〉,动物的有尖甲的脚：鸡～｜猫～。
庄子,zhuānɡ•zi〈口〉,村庄：他是我们～里的人。
桩子,zhuānɡ•zi,一端或全部埋在土中的柱形物，多用于建筑或做分界的标志。
状子,zhuànɡ•zi〈口〉,诉状。
锥子,zhuī•zi,有尖头的用来钻孔的工具。
坠子,1zhuì•zi〈口〉,坠，特指耳坠子。
准稿子,zhǔnɡǎo•zi,准谱儿：办事心里要有个～才行。
桌子,zhuō•zi,家具，上有平面，下有支柱，在上面放东西或做事情：一张～。
镯子,zhuó•zi,戴在手腕或脚腕上的环形装饰品：金～。
粽子,zònɡ•zi,一种食品，用竹叶或苇叶等把糯米包住，扎成三角锥体或其他形状，煮熟后食用。我国民间端午节有吃粽子的习俗。
租子,zū•zi〈口〉,地租：交～｜收～。
嘴皮子,zuǐpí•zi〈口〉,嘴唇，指说话的技巧或口头表达能力（多含贬义）：耍～｜他那两片～可能说了。
嘴子,zuǐ•zi〈方〉,嘴：山～。
左撇子,zuǒpiě•zi,习惯于用左手做事（如使用筷子、刀、剪等器物）的人。
左嗓子,zuǒsǎnɡ•zi①形指歌唱时声音高低不准。②,左嗓子的人。
左性子,zuǒxìnɡ•zi①形性情执拗、怪僻。②,性情执拗、怪僻的人。
座子,zuò•zi,①座：钟～。②自行车、摩托车等上面供人坐的部分。
