word,pronunciation,sense
碟子,dié•zi,盛菜蔬或调味品的器皿，比盘子小，底平而浅。
钉子,dīnɡ•zi,①金属制成的细棍形的物件，一端有扁平的头，另一端尖锐，主要起固定或连接作用，也可用来悬挂物品等。②比喻难以处置或解决的事物：～户。③比喻埋伏的人：安插～。
顶子,dǐnɡ•zi,①亭子、塔、轿子等顶上的装饰部分。②顶珠。③房顶：挑（tiǎo）～（拆修房顶）。
锭子,dìnɡ•zi,纱锭。
洞子,dònɡ•zi〈方〉,①冬天培植花草、蔬菜等的暖房：花儿～｜～货。②洞穴。
兜子,dōu•zi,口袋一类的东西：工具～｜裤～。
篼子,dōu•zi〈方〉,用竹椅子捆在两根竹竿上做成的交通工具，作用跟轿子相同。
斗子,dǒu•zi,①煤矿里盛煤的器具，也指家庭中盛煤的铁桶。②用树条、木板等制成的盛东西的器具：料～。
豆子,dòu•zi,①指豆类作物。②豆类作物的种子：剥～。③样子像豆类作物种子的东西：金～｜狗～。
㞘子,dū•zi〈方〉,①屁股。②蜂或蝎子等的尾部。
犊子,dú•zi,小牛：牛～。
肚子,dǔ•zi,用作食品的动物的胃：猪～｜羊～。
肚子,dù•zi,①腹u的通称。②物体圆而凸起像肚子的部分：腿～。
段子,duàn•zi,大鼓、相声、评书等曲艺中可以一次表演完的节目。
缎子,duàn•zi,质地较厚、一面平滑有光彩的丝织品，是我国的特产之一。
对子,duì•zi,①对偶的词句：对～。②对联：写～。③成对的或相对的人或物：结成互帮互学的～。
墩子,dūn•zi,①矮而粗大的整块石头、木头：菜～（切菜用具）｜坐在石～上。②矮的圆柱形的坐具：这个～是用蒲草编的。
砘子,dùn•zi,播种覆土以后用来镇压的农具。
垛子,duǒ•zi,墙上向外或向上突出的部分：门～｜城～。
垛子,duò•zi,整齐地堆成的堆：麦秸～。
蛾子,é•zi,昆虫，腹部短而粗，有四个带鳞片的翅膀。多在夜间活动，常飞向灯光。其中很多种是农业害虫。
儿子,ér•zi,男孩子（对父母而言）：二～◇人民的好～。
耳刮子,ěrɡuā•zi,耳光。
耳掴子,ěrɡuāi•zi〈方〉,耳刮子。
耳挖子,ěrwā•zi,掏耳垢用的小勺儿。
耳子,ěr•zi,器物两旁供人提的部分。
饵子,ěr•zi,鱼饵。
二愣子,èrlènɡ•zi,指鲁莽的人。
二流子,èrliú•zi,游手好闲、不务正业的人。
垡子,fá•zi〈方〉①,翻耕出来或掘出的土块。也叫垡头。②量指相当长的一段时间：这一～｜那一～。
筏子,fá•zi,水上行驶的竹排或木排，也有用牛羊皮、橡胶等制造的。
法子,fǎ•zi,方法：想～｜没～。
贩子,fàn•zi,贩卖东西的人（多含贬义）：牲口～◇战争～。
方子,1fānɡ•zi,方材。也作枋子。
方子,2fānɡ•zi,①药方。②配方的通称。
枋子,fānɡ•zi①同“方子”1。②〈方〉,棺材。
房子,fánɡ•zi,有墙、顶、门、窗，供人居住或做其他用途的建筑物。
妃子,fēi•zi,皇帝的妾，地位次于皇后。
榧子,fěi•zi,①香榧。②香榧的种子。
份子,fèn•zi,①集体送礼时各人分摊的钱：凑～。②泛指做礼物的现金：出～。
粪箕子,fènjī•zi,盛粪的器具，用荆条、竹篾等编成，形状像簸箕，有提梁。
疯子,fēnɡ•zi,患严重精神病的人。
缝子,fènɡ•zi〈口〉,缝隙：墙裂了道～。
麸子,fū•zi,通常指小麦磨成面筛过后剩下的麦皮和碎屑。也叫麸皮。
浮子,fú•zi,鱼漂。
桴子,fú•zi,①〈方〉小筏子。②桴1。
斧子,fǔ•zi,砍竹、木等用的金属工具，头呈楔形，装有木柄。
玍子,ɡǎ•zi〈方〉,调皮的人（有时用来称小孩儿，含喜爱意）。也作嘎子。
盖子,ɡài•zi,①器物上部有遮蔽作用的东西：茶杯～碎了。②动物背上的甲壳。
杆子,ɡān•zi,①有一定用途的细长的木头或类似的东西（多直立在地上，上端较细）：电线～。②〈方〉指结伙抢劫的土匪：拉～。
矸子,ɡān•zi〈口〉,矸石。
柑子,ɡān•zi〈方〉,柑。
竿子,ɡān•zi,竹竿，截取竹子的主干而成。
杆子,ɡǎn•zi,杆（ɡǎn）：枪～｜笔～。
秆子,ɡǎn•zi,某些植物的茎：高粱～。
缸子,ɡānɡ•zi,喝水或盛东西等用的器物，形状像罐儿：茶～｜糖～｜玻璃～。
